index,originId,destId,count,delaycount
357,10423,11775,49,8
358,10423,11986,95,27
359,10423,12173,166,40
360,10423,12191,1587,340
361,10423,12206,721,159
362,10423,12264,974,137
363,10423,12266,2193,371
364,10423,12339,694,212
365,10423,12451,7,3
366,10423,12478,2406,659
367,10423,12889,3306,863
368,10423,12892,4025,957
369,10423,12896,321,116
370,10423,12954,588,138
371,10423,13158,939,229
372,10423,13198,830,195
373,10423,13204,2771,690
374,10423,13232,1495,344
375,10423,13244,7,2
376,10423,13256,698,200
377,10423,13303,1832,420
378,10423,13487,1402,297
379,10423,13495,1543,374
380,10423,13796,339,141
381,10423,13851,385,85
382,10423,13871,68,24
383,10423,13891,372,152
384,10423,13930,3001,537
385,10423,14057,364,128
386,10423,14100,984,207
387,10423,14107,3480,782
388,10423,14122,374,111
389,10423,14262,62,18
390,10423,14314,109,31
391,10423,14492,1382,401
392,10423,14570,97,22
393,10423,14635,27,5
394,10423,14679,2000,472
395,10423,14730,31,5
396,10423,14747,2022,413
397,10423,14761,46,11
398,10423,14771,2001,562
399,10423,14831,1221,310
400,10423,14843,30,9
401,10423,14869,1753,340
402,10423,14893,552,168
403,10423,14908,712,223
404,10423,14986,33,15
405,10423,15016,908,169
406,10423,15304,1042,280
407,10423,15370,358,91
408,10423,15412,101,28
409,10423,15624,9,2
410,10431,10397,2159,440
411,10431,10423,106,27
412,10431,10721,214,43
413,10431,10821,84,36
414,10431,11057,2112,490
415,10431,11278,576,169
416,10431,11292,391,95
417,10431,11298,592,209
418,10431,11618,629,144
419,10431,11624,107,20
420,10431,11697,638,214
421,10431,12191,69,20
423,10431,12889,105,15
424,10431,12953,977,184
425,10431,13204,94,27
426,10431,13232,83,19
427,10431,13303,153,77
428,10431,13487,251,113
429,10431,13930,1121,291
430,10431,14027,133,22
431,10431,14082,230,57
432,10431,14100,47,11
433,10431,14107,105,28
434,10431,14112,488,147
435,10431,14761,484,127
436,10431,14986,122,33
437,10431,15624,11,3
438,10434,11057,1064,227
439,10434,13930,528,116
