OriginAirportID,cancelled,carrier,weather,nas,security,late
14193,167.0,72.0,5.0,82.0,1.0,19.0
14231,1.0,,,,,
14237,4.0,,,4.0,,
14252,25.0,4.0,1.0,13.0,,1.0
14254,21.0,6.0,,2.0,,
14256,11.0,,,6.0,,
14259,8.0,3.0,,1.0,,1.0
14262,139.0,37.0,2.0,41.0,,14.0
14307,172.0,71.0,1.0,46.0,2.0,23.0
14314,13.0,3.0,,8.0,,2.0
14321,252.0,62.0,4.0,42.0,,17.0
14457,62.0,16.0,,21.0,,3.0
14487,7.0,,,2.0,,1.0
14489,111.0,5.0,1.0,26.0,,4.0
14492,924.0,279.0,7.0,233.0,1.0,87.0
14512,14.0,5.0,,5.0,,1.0
14520,7.0,1.0,,3.0,,
14524,249.0,82.0,3.0,129.0,,25.0
14534,11.0,1.0,,3.0,,1.0
14543,7.0,1.0,,3.0,,
14570,177.0,76.0,3.0,81.0,,21.0
14574,67.0,13.0,1.0,14.0,,1.0
14576,206.0,39.0,4.0,62.0,,12.0
14588,26.0,,,12.0,,1.0
14633,13.0,1.0,1.0,11.0,,
14635,803.0,215.0,1.0,179.0,,34.0
14674,44.0,,2.0,9.0,,
14679,1211.0,466.0,23.0,553.0,2.0,133.0
14683,486.0,180.0,7.0,189.0,,41.0
14685,275.0,99.0,10.0,75.0,,18.0
14689,110.0,19.0,,18.0,,7.0
14696,101.0,12.0,2.0,34.0,,4.0
14698,52.0,10.0,,22.0,1.0,2.0
14709,18.0,1.0,,1.0,,
14711,10.0,,,3.0,,
14716,2.0,5.0,,3.0,,1.0
14730,259.0,91.0,4.0,102.0,,19.0
14747,1813.0,416.0,16.0,866.0,5.0,59.0
14761,156.0,45.0,4.0,75.0,1.0,10.0
14771,1793.0,524.0,7.0,558.0,1.0,95.0
14783,108.0,40.0,8.0,44.0,,12.0
14794,9.0,,2.0,11.0,,1.0
14812,14.0,1.0,,3.0,,
14814,89.0,12.0,8.0,16.0,,3.0
14828,24.0,2.0,1.0,6.0,,
14831,339.0,140.0,1.0,179.0,1.0,58.0
14842,22.0,4.0,1.0,4.0,,1.0
14843,439.0,200.0,5.0,320.0,1.0,56.0
14869,706.0,278.0,8.0,385.0,,92.0
14877,16.0,,,4.0,,
14893,398.0,231.0,3.0,224.0,1.0,58.0
14905,,,,1.0,,
14908,404.0,158.0,2.0,153.0,,45.0
14952,2.0,1.0,,,,
14955,2.0,1.0,,,,
14960,13.0,1.0,1.0,4.0,,
14986,571.0,62.0,1.0,80.0,,21.0
15008,2.0,,,,,
15016,705.0,267.0,11.0,291.0,,140.0
15023,18.0,9.0,,30.0,,5.0
15024,60.0,21.0,3.0,43.0,,16.0
15027,14.0,10.0,1.0,22.0,2.0,1.0
15041,22.0,1.0,,5.0,,
15048,14.0,1.0,,4.0,,1.0
15070,7.0,1.0,,2.0,,
15074,15.0,2.0,2.0,3.0,,
15096,202.0,48.0,,34.0,,14.0
15249,104.0,29.0,6.0,39.0,,14.0
15295,4.0,5.0,1.0,4.0,,
15304,1985.0,385.0,23.0,456.0,,118.0
15323,22.0,7.0,,6.0,,1.0
15356,59.0,4.0,,1.0,,2.0
15370,171.0,73.0,4.0,59.0,,10.0
15376,133.0,48.0,3.0,68.0,,7.0
15380,49.0,11.0,,25.0,,2.0
15389,2.0,,,3.0,,
15401,21.0,4.0,,2.0,,
15411,30.0,3.0,,3.0,,1.0
15412,257.0,65.0,5.0,53.0,,19.0
15569,16.0,,,1.0,,
15582,,1.0,,1.0,,
15607,17.0,2.0,,2.0,,
15624,117.0,60.0,1.0,56.0,,8.0
15841,11.0,,,6.0,,
15897,4.0,,,1.0,,
15919,120.0,46.0,14.0,47.0,1.0,12.0
15991,16.0,,,5.0,,
16218,6.0,2.0,,5.0,1.0,1.0
16869,31.0,4.0,,8.0,,
