origin,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
FSD,1241,90,7033,389,248,128,90,81,50,40,27,29,14,19,16,8,13,6,83
FSM,220,28,1184,68,43,21,10,12,16,7,9,4,4,5,3,1,2,4,11
FWA,1057,63,4722,296,155,105,86,70,54,42,48,25,23,22,13,18,9,15,76
GCC,82,9,732,19,8,5,4,5,5,3,4,4,4,2,1,1,1,1,15
GCK,131,19,730,42,20,10,9,5,7,5,3,4,4,3,3,2,0,1,13
GEG,2415,127,17527,902,492,266,156,133,77,67,58,40,30,34,21,13,13,16,97
GFK,181,7,1283,40,31,23,17,18,8,4,8,5,4,2,1,1,3,1,15
GGG,137,15,729,24,20,16,13,13,8,5,6,2,5,4,4,0,5,1,11
GJT,579,33,3966,169,94,68,52,25,31,16,16,11,7,7,8,6,10,9,50
GNV,455,63,3025,134,72,50,35,35,25,22,17,11,6,3,3,3,8,3,28
GPT,511,44,3371,145,92,58,48,24,21,13,12,6,10,8,2,2,6,5,59
GRB,702,60,4203,171,104,79,56,52,32,38,13,22,16,15,18,14,11,4,57
GRI,205,16,954,54,32,20,17,16,11,3,3,3,4,4,2,1,4,3,28
GRK,368,37,1796,110,67,38,37,23,13,13,8,12,5,6,7,6,4,3,16
GRR,3077,291,18237,982,526,358,259,156,121,117,86,59,60,51,45,26,27,21,183
GSO,1676,192,11951,446,299,185,145,112,82,54,51,51,42,26,31,11,26,14,101
GSP,2500,232,16322,758,435,286,172,149,125,95,70,75,57,31,31,27,23,28,138
GST,11,6,90,3,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0
GTF,241,17,2436,64,36,31,17,13,13,13,5,6,4,4,1,2,4,1,27
GTR,60,8,732,17,10,3,6,3,2,2,3,3,2,3,0,0,0,1,5
GUC,126,10,849,20,23,15,6,10,9,9,5,8,0,3,1,4,2,0,11
GUM,60,6,732,27,16,4,3,2,2,2,0,1,1,0,0,0,0,0,2
HDN,541,26,2516,167,113,67,37,33,20,20,10,13,9,10,4,6,6,2,24
HGR,108,9,296,32,20,14,6,8,6,3,5,1,3,0,1,1,1,0,7
HHH,395,42,1874,127,74,41,25,29,19,14,15,10,8,5,3,3,4,2,16
HIB,83,7,629,16,15,8,6,7,5,3,4,8,1,0,1,1,0,0,8
HLN,173,9,1557,47,16,13,13,16,6,8,4,1,4,4,2,2,2,1,34
HNL,8372,588,61548,3944,1603,880,554,333,260,176,125,84,79,51,51,26,22,24,160
