dest,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
GST,10,6,90,5,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
GTF,286,13,2436,84,53,32,25,17,13,14,8,4,11,2,4,2,2,0,15
GTR,86,8,732,29,14,12,7,5,3,2,2,2,1,3,1,0,0,0,5
GUC,145,10,849,47,18,14,17,13,5,3,6,5,3,4,0,0,2,1,7
GUM,129,6,732,65,31,9,3,5,5,2,2,0,2,1,1,0,0,0,3
HDN,489,23,2516,171,98,61,49,34,23,10,6,7,4,4,5,4,2,3,8
HGR,80,8,295,23,21,11,7,4,4,4,1,1,0,0,0,0,1,0,3
HHH,294,27,1874,108,61,31,20,14,11,10,8,10,1,4,2,3,0,0,11
HIB,97,6,629,24,13,15,11,2,6,5,5,4,4,0,2,1,1,0,4
HLN,186,12,1557,60,28,15,23,19,6,4,10,1,2,1,3,1,2,0,11
HNL,8467,582,61558,3926,1618,831,505,369,246,170,132,108,89,58,63,57,41,24,230
HOB,109,8,446,25,13,18,9,8,8,4,2,2,1,1,2,1,0,0,15
HOU,12222,714,57061,5169,2363,1325,866,573,443,292,212,165,156,127,78,77,71,63,242
HPN,2700,195,12332,713,423,329,249,186,140,124,82,79,66,52,41,39,28,24,125
HRL,861,46,4305,359,180,100,65,37,30,17,14,9,9,5,4,9,4,4,15
HSV,1730,135,8898,520,360,191,134,127,85,57,60,47,30,24,25,12,9,5,44
HTS,115,14,427,27,19,18,15,3,6,0,4,4,4,1,1,2,2,2,7
HYA,52,8,269,18,8,4,6,2,3,2,3,0,2,0,0,0,0,0,4
HYS,132,11,671,32,23,14,14,9,5,7,3,2,1,3,2,0,2,0,15
IAD,8302,721,52895,2774,1450,920,654,488,368,306,237,192,128,113,104,79,57,76,356
IAG,58,8,383,21,7,6,6,4,4,1,1,0,0,0,1,0,2,2,3
IAH,21357,2413,115961,6670,3679,2329,1732,1264,973,822,635,494,420,298,290,236,211,166,1138
ICT,2310,109,10278,753,406,318,202,154,113,69,67,34,36,19,18,22,12,11,76
IDA,515,20,3432,158,91,64,41,42,27,17,17,9,11,7,5,5,3,3,15
ILM,1535,131,8072,464,278,199,129,107,63,69,45,43,28,24,11,11,17,8,39
IMT,126,7,728,23,13,16,10,12,4,8,3,5,7,3,3,2,3,1,13
IND,10139,633,47755,3474,1992,1191,820,585,455,325,275,202,147,117,109,81,55,46,265
INL,116,7,653,28,19,19,12,4,2,7,6,2,1,2,4,0,3,0,7
ISP,1260,75,4778,478,229,144,88,70,52,40,32,24,23,17,12,11,12,7,21
ITH,104,29,810,23,21,8,11,4,10,5,4,4,1,5,0,0,2,0,6
ITO,843,60,6758,453,160,74,64,32,28,11,7,4,4,3,0,1,2,0,0
JAC,1113,64,5626,336,201,135,79,71,64,41,25,27,13,12,13,8,11,5,72
JAN,1360,71,6869,469,272,161,110,67,69,54,25,26,25,11,8,17,5,7,34
JAX,6781,447,30223,2293,1303,784,583,417,277,217,164,127,119,83,76,55,40,36,207
JFK,25200,2359,123334,7562,4214,2808,2103,1582,1233,954,785,624,494,415,327,275,240,205,1379
JLN,134,16,627,40,30,12,8,4,7,5,2,2,6,2,0,1,2,1,12
JMS,76,27,615,25,13,2,4,7,4,3,5,2,2,2,3,2,0,0,2
JNU,807,69,4738,325,182,103,63,41,18,16,14,8,5,1,7,3,5,6,10
JST,176,20,731,43,35,18,17,8,7,4,7,3,0,5,2,0,0,0,27
KOA,2349,138,16328,1107,448,232,162,105,60,47,48,26,21,15,15,9,8,11,35
KTN,392,36,2515,160,83,36,37,17,16,13,8,2,5,3,2,0,0,4,6
LAN,327,16,1298,71,60,38,37,26,16,8,13,8,8,6,10,5,2,2,17
LAR,98,21,627,31,16,14,7,9,5,5,2,1,5,1,0,1,0,0,1
LAS,43771,1789,189264,15192,8447,5389,3753,2628,1911,1453,1070,760,602,460,354,297,263,150,1042
LAW,164,29,1086,42,29,27,16,10,13,3,6,4,0,3,2,1,0,1,7
LAX,38091,1687,194044,13992,7058,4310,2916,2180,1505,1114,912,690,494,443,378,271,254,211,1363
LBB,1395,85,6191,463,287,176,120,80,53,36,37,26,27,15,7,14,3,3,48
LBE,76,13,576,27,17,9,6,4,0,3,3,1,1,1,3,0,0,0,1
LBF,92,9,627,27,20,11,10,7,4,3,2,1,0,1,2,1,0,0,3
LBL,107,12,566,33,24,9,8,6,5,4,5,1,3,1,0,3,1,0,4
LCH,160,27,1086,39,19,26,21,14,8,8,6,2,2,3,2,0,2,0,8
LCK,198,23,958,70,34,21,18,11,11,8,2,2,2,2,1,3,1,2,10
LEX,1781,125,9141,580,312,213,137,117,94,65,51,38,28,31,15,13,6,9,72
LFT,623,70,3254,182,110,56,59,42,28,35,24,15,12,9,5,6,8,5,27
LGA,30120,3763,162470,9123,5257,3621,2508,1866,1362,1162,836,736,623,462,367,309,264,237,1387
LGB,3416,90,17652,1580,712,403,223,142,101,58,48,43,25,20,11,11,11,7,21
LIH,1922,127,15957,916,379,213,130,80,55,45,21,19,16,6,9,4,5,2,22
LIT,2684,142,12658,980,495,297,215,176,110,79,64,48,41,37,31,18,15,8,70
LNK,391,19,1864,109,72,48,41,25,22,18,15,4,6,4,3,1,1,5,17
LRD,295,26,1795,100,65,33,23,19,15,11,6,9,3,1,1,5,1,0,3
LSE,75,6,332,29,11,5,8,6,3,3,2,0,1,2,1,0,1,0,3
LWS,119,4,1098,32,18,22,12,5,6,6,2,3,2,1,0,0,3,0,7
MAF,1844,123,9482,650,354,229,156,104,71,49,44,33,37,23,17,12,16,9,40
MBS,470,27,2210,107,78,58,45,29,35,23,15,12,12,13,11,3,8,3,18
MCI,10946,528,49868,4231,2111,1274,827,584,431,312,246,177,134,121,91,66,61,51,229
MCO,38752,3073,159578,12687,6765,4439,3070,2350,1769,1397,1111,879,698,550,492,437,309,231,1568
MCW,137,15,627,30,28,19,6,9,10,7,5,2,5,3,1,2,1,2,7
MDT,1147,57,5370,322,212,149,89,70,67,36,28,35,29,17,9,16,10,8,50
MDW,17307,953,79631,7103,3552,1994,1135,806,605,461,326,234,191,170,118,114,75,82,341
MEI,128,21,627,25,24,13,11,10,8,5,5,6,4,0,1,0,2,1,13
MEM,5105,296,22623,1765,935,634,458,297,243,168,127,94,61,65,52,35,26,25,120
MFE,1265,76,4687,389,211,171,90,74,62,42,33,24,36,20,13,14,13,12,61
MFR,694,42,4369,234,137,74,62,41,32,26,19,10,16,8,5,3,3,1,23
MGM,479,34,2627,156,81,60,53,30,16,14,10,7,5,3,6,8,4,4,22
MGW,10,1,38,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,4
MHK,178,15,981,68,38,20,9,15,5,13,2,3,1,1,1,0,1,0,1
MHT,1329,68,5650,491,291,150,98,64,70,34,20,21,14,13,11,10,11,3,28
MIA,23903,1907,109923,7461,4191,2768,1952,1348,1128,880,656,506,427,335,295,228,210,184,1334
MKE,6481,384,28694,2302,1185,738,512,372,246,249,161,121,98,86,62,73,45,38,193
MLB,484,44,2813,175,81,60,42,30,20,15,10,13,8,6,5,7,1,0,11
MLI,904,77,4282,230,173,130,94,55,39,39,24,22,16,9,12,9,11,9,32
MLU,339,26,2024,104,60,41,37,24,18,10,11,11,4,4,3,3,3,2,4
MOB,440,34,2604,154,81,59,34,26,23,10,14,5,2,9,6,2,1,0,14
MOT,369,37,2375,113,79,41,33,20,13,9,9,2,8,4,3,4,2,3,26
MQT,179,8,848,58,33,14,17,16,9,8,4,5,4,2,1,1,0,0,7
MRY,840,30,4691,258,152,107,83,62,39,15,30,17,12,11,11,8,5,6,24
MSN,2630,151,11790,760,466,326,241,187,127,99,91,83,52,41,27,22,18,9,81
MSO,763,38,4170,258,133,96,66,53,34,33,15,15,15,4,6,3,5,7,20
MSP,21876,1146,126793,7248,3943,2476,1668,1290,925,699,558,447,343,283,249,217,156,149,1225
MSY,11690,651,50173,4215,2279,1400,930,651,462,350,280,192,169,150,117,94,62,70,269
MTJ,613,21,2856,239,112,52,53,46,24,22,15,7,10,5,5,4,2,3,14
MVY,193,37,1075,67,35,14,14,13,12,5,6,3,7,1,3,2,3,1,7
MYR,3174,272,16014,1092,581,338,264,183,150,125,93,58,39,42,31,34,28,25,91
OAJ,313,23,1798,100,53,32,28,22,13,13,5,12,3,5,0,7,2,2,16
OAK,8831,290,41347,3750,1814,1074,629,408,295,233,154,111,88,56,47,42,32,17,81
OGG,3161,238,26542,1483,631,313,207,133,83,58,49,32,33,22,13,15,6,11,72
OKC,5078,243,22796,1815,969,623,406,304,196,173,118,104,71,53,42,51,24,25,104
OMA,5242,265,23768,1906,980,642,440,268,228,166,134,93,77,63,42,43,25,23,112
OME,62,10,365,24,14,9,4,4,2,0,0,3,0,0,2,0,0,0,0
ONT,6098,211,26172,2371,1225,703,474,332,271,166,102,97,77,68,43,38,31,21,79
ORD,50438,4072,280009,15135,8504,5652,4058,3056,2362,1913,1477,1261,994,800,695,599,465,395,3072
ORF,4617,356,21123,1693,865,560,337,270,178,167,98,68,63,39,45,27,18,18,171
ORH,238,35,1405,82,44,28,26,12,6,6,9,2,3,1,1,2,4,2,10
